Graph;n_nodes;n_edges;diameter ;init_obj;final_obj;cost;n_vars_sol;distance-based pairwise connectivity;work;Status;callback_time (s);run_time (s)
Hi-Tech;33;91;5;88,30%;75,19%;1;561;397;0,293;2;0.05;0.12
Karate;34;78;5;85,6%;57,75%;1;595;324;0,196;2;0.04;0.07
Mexican;35;117;4;98,0%;88,57%;1;630;527;0,05;2;0.07;0.16
Sawmill;36;62;8;63,0%;34,1%;1;666;215;0,003;2;0.03;0.07
Chesapeake;39;170;3;100,0%;93,93%;1;780;696;0,11;2;0,2;0,32
Dolphins;62;159;8;58,5%;43,36%;3;1953;820;0,27;2;0,48;0,88
Lesmiserable;77;254;5;85,4%;31,78%;3;3003;930;0,22;2;0,33;0,73
Santafe;118;200;12;32,9%;4,42%;5;7021;305;0,07;2;0,47;0,69
Sanjuansur;75;155;7;48,7%;28,94%;3;2850;803;0,05;2;0,13;0,24
Attiro;59;128;8;68,00%;43,42%;2;1770;743;0,43;2;0.09;0.16
UsaAir97;332;2126;6;84,8%;19,33%;16;55278;10623;505,42;2;17,29;189,18
SmallWorld;233;994;4;95,2%;17,13%;11;27261;4629;67,85;2;31,1;69,2
