Graph_name,n_nodes,n_edges,diameter,b,cost,final_obj,n_vars,status,run_time
HI_TECH,33,91,5,0.05,1,43.69%,2673,2,0.149
SMALLWORLD,233,994,4,0.05,11,9.28%,108345,2,113.941
LESMISERABLE,77,254,5,0.05,3,18.44%,14707,2,1.193
SANTAFE,118,200,12,0.05,5,2.95%,82954,2,0.703
ATTIRO,59,128,8,0.05,2,31.11%,13747,2,1.393
DOLPHINS,62,159,8,0.05,3,29.33%,15190,2,6.039
CHESAPEAKE,39,170,3,0.05,1,53.71%,2262,2,0.121
MEXICAN,35,117,4,0.05,1,49.06%,2415,2,0.141
KARATE,34,78,5,0.05,1,33.74%,2839,2,0.055
LINDENSTRASSE,232,303,13,0.05,11,8.77%,348580,9,3600.394
USAIR97,332,2126,6,0.05,16,11.59%,330008,2,1798.464
SAWMILL,36,62,8,0.05,1,27.46%,5076,2,0.168
SANJUANSUR2,75,155,7,0.05,3,25.9%,19500,2,4.788
HI_TECH,33,91,5,0.1,3,32.81%,2673,2,0.365
SMALLWORLD,233,994,4,0.1,23,4.02%,108345,2,436.645
LESMISERABLE,77,254,5,0.1,7,7.88%,14707,2,1.656
SANTAFE,118,200,12,0.1,11,1.39%,82954,2,1.356
ATTIRO,59,128,8,0.1,5,22.3%,13747,2,7.185
DOLPHINS,62,159,8,0.1,6,18.63%,15190,2,4.634
CHESAPEAKE,39,170,3,0.1,3,35.87%,2262,2,0.259
MEXICAN,35,117,4,0.1,3,36.58%,2415,2,0.199
KARATE,34,78,5,0.1,3,16.69%,2839,2,0.125
LINDENSTRASSE,232,303,13,0.1,23,1.14%,348580,2,26.045
USAIR97,332,2126,6,0.1,33,8.64%,330008,9,3600.414
SAWMILL,36,62,8,0.1,3,14.17%,5076,2,0.248
SANJUANSUR2,75,155,7,0.1,7,14.41%,19500,2,8.196
HI_TECH,33,91,5,0.01,0,50.81%,2673,2,0.042
SMALLWORLD,233,994,4,0.01,2,28.55%,108345,2,81.614
LESMISERABLE,77,254,5,0.01,0,43.53%,14707,2,0.076
SANTAFE,118,200,12,0.01,1,13.77%,82954,2,9.131
ATTIRO,59,128,8,0.01,0,38.94%,13747,2,0.056
DOLPHINS,62,159,8,0.01,0,37.92%,15190,2,0.067
CHESAPEAKE,39,170,3,0.01,0,60.39%,2262,2,0.025
MEXICAN,35,117,4,0.01,0,54.96%,2415,2,0.015
KARATE,34,78,5,0.01,0,49.2%,2839,2,0.02
LINDENSTRASSE,232,303,13,0.01,2,17.08%,348580,2,560.394
USAIR97,332,2126,6,0.01,3,30.13%,330008,2,457.957
SAWMILL,36,62,8,0.01,0,39.95%,5076,2,0.053
SANJUANSUR2,75,155,7,0.01,0,34.19%,19500,2,0.108
